Sex;Age;Tenure;Count_CA;Count_SA;Count_MF;Count_OVD;Count_CC;Count_CL;ActBal_CA;ActBal_SA;ActBal_MF;ActBal_OVD;ActBal_CC;ActBal_CL;VolumeCred;VolumeCred_CA;TransactionsCred;TransactionsCred_CA;VolumeDeb;VolumeDeb_CA;VolumeDebCash_Card;VolumeDebCashless_Card;VolumeDeb_PaymentOrder;TransactionsDeb;TransactionsDeb_CA;TransactionsDebCash_Card;TransactionsDebCashless_Card;TransactionsDeb_PaymentOrder;Sale_MF
M;59;149;1;0;0;0;0;0;2728.94571428571;0;0;0;0;0;8921.08321428571;8921.08321428571;6;6;9175.23107142857;9175.23107142857;0;828.669285714286;5577.77428571429;36;36;0;15;12;0
F;31;8;1;2;0;1;1;0;8.87035714285714;3655.81892857143;0;23.0642857142857;1.42857142857143;0;2186.54107142857;1367.82785714286;25;17;2137.95464285714;1356.10464285714;32.1428571428572;0;220.321428571429;36;16;1;0;8;0
M;35;151;1;0;0;1;0;1;3662.21785714286;0;0;0;0;2812.06678571429;1808.9675;1395.19428571429;18;13;2289.28071428571;1895.19428571429;1214.28571428571;0;60.3928571428572;26;17;6;0;2;0
M;30;151;1;1;2;0;0;0;22.3285714285714;2077.6125;14285.7142857143;0;0;0;438.725714285714;438.298571428571;3;2;110.357142857143;110.357142857143;0;0;108.571428571429;3;3;0;0;2;0
M;20;172;1;0;0;1;0;0;48.7710714285714;0;0;114.14;0;0;4160.70107142857;2840.97964285714;38;33;4245.90464285714;2803.67571428571;232.142857142857;786.336785714286;202.249642857143;86;58;4;38;6;1
F;80;199;1;0;0;0;0;0;42.9907142857143;0;0;0;0;0;0.0103571428571429;0.000714285714285714;2;1;6.43821428571429;6.42857142857143;0;0;0;2;1;0;0;0;0
F;48;88;1;0;3;0;0;0;112.35;0;0;0;0;0;745.22;745.22;2;2;319.892857142857;319.892857142857;0;0;316.964285714286;7;7;0;0;6;0
F;26;181;1;0;0;0;0;0;23.3307142857143;0;0;0;0;0;0.0132142857142857;0.0132142857142857;1;1;0;0;0;0;0;0;0;0;0;0;0
F;39;82;1;2;0;1;0;0;816.838928571429;0;0;0;0;0;1175.48035714286;1171.32607142857;8;6;465.5;465.5;0;31.6071428571429;430.5;10;10;0;2;7;0
F;73;31;1;0;0;0;0;0;204.461428571429;0;0;0;0;0;157.288214285714;157.288214285714;4;4;222.576428571429;222.576428571429;146.428571428571;76.1478571428571;0;21;21;8;13;0;0
F;43;150;1;0;0;1;0;1;50.7807142857143;0;0;0;0;17300.4896428571;251.878571428571;191.8075;7;4;241.990357142857;226.6475;107.142857142857;16.4821428571429;0;12;9;2;2;0;0
F;26;13;1;0;0;0;1;0;35.7142857142857;0;0;0;1068.20964285714;0;1406.25571428571;691.97;7;6;1016.86857142857;302.582857142857;107.142857142857;41.8685714285714;132.142857142857;17;16;7;6;2;0
F;47;239;1;0;0;0;0;0;637.835714285714;0;0;0;0;0;91.0807142857143;91.0807142857143;2;2;126.928571428571;126.928571428571;0;124.964285714286;0;2;2;0;1;0;0
F;43;92;1;1;2;0;0;0;1184.93821428571;5876.28142857143;23214.2857142857;0;0;0;3098.8125;3075.16178571429;4;2;1618.58035714286;1618.58035714286;142.857142857143;1209.50892857143;266.214285714286;34;34;1;26;7;0
M;32;14;1;2;0;0;0;0;156.8175;4.54857142857143;0;0;0;0;1036.26678571429;1021.00785714286;3;2;710.982142857143;710.982142857143;114.285714285714;139.553571428571;456.928571428572;19;19;1;9;8;0
M;39;80;1;0;0;0;0;0;1392.76678571429;0;0;0;0;0;857.107857142857;857.107857142857;3;3;862.428928571429;862.428928571429;0;0;861.786071428571;5;5;0;0;4;1
F;22;40;2;0;0;0;0;0;8883.96821428571;0;0;0;0;0;30.3817857142857;30.3817857142857;2;2;35.8928571428572;35.8928571428572;0;33.9285714285714;0;2;2;0;1;0;0
F;25;150;1;0;0;1;0;0;2893.11285714286;0;0;676.752857142857;0;0;32.15;32.15;3;3;52.1428571428572;52.1428571428572;0;0;52.1428571428572;4;4;0;0;4;1
M;42;126;1;0;0;0;0;0;1103.65857142857;0;0;0;0;0;1062.03428571429;1062.03428571429;5;5;1021.60714285714;1021.60714285714;678.571428571429;0;343.035714285714;9;9;2;0;7;1
F;60;147;1;0;0;1;0;0;12.7503571428571;0;0;681.520357142857;0;0;1922.25714285714;1339.54642857143;24;22;1958.16428571429;1350.26071428571;185.714285714286;85.3714285714286;496.035714285714;45;24;6;11;3;1
M;47;92;1;0;0;0;0;0;898.485;0;0;0;0;0;23.2142857142857;23.2142857142857;1;1;24.3214285714286;24.3214285714286;0;0;22.1428571428571;3;3;0;0;2;1
M;50;53;1;1;0;0;0;0;79.4185714285714;1259.155;0;0;0;0;68.4014285714286;0;1;0;0;0;0;0;0;0;0;0;0;0;1
M;32;128;1;0;0;0;0;1;2809.19785714286;0;0;0;0;7237.21535714286;528.711071428572;433.429285714286;3;2;403.821428571429;401;285.714285714286;0;0;6;5;2;0;0;0
M;33;52;1;0;0;0;0;0;564.981071428572;0;0;0;0;0;399.072857142857;399.072857142857;2;2;96.6428571428571;96.6428571428571;0;0;95.1071428571429;4;4;0;0;3;0
F;63;168;3;0;1;0;0;0;185.722142857143;0;0;0;0;0;447.112857142857;447.112857142857;2;2;503.980714285714;503.980714285714;178.571428571429;255.909285714286;67.4285714285714;11;11;1;6;3;0
F;74;64;1;0;0;1;1;0;1653.96321428571;0;0;0;940.574285714286;0;406.501071428571;398.902142857143;13;8;466.913928571429;400.762857142857;303.571428571429;59.7553571428572;25.7142857142857;18;11;2;3;1;0
F;27;183;1;0;0;0;0;0;1511.68392857143;0;0;0;0;0;714.285714285714;714.285714285714;1;1;728.107142857143;728.107142857143;0;0;725.928571428571;2;2;0;0;1;0
F;66;18;1;0;0;0;1;0;0;0;0;0;853.267142857143;0;19775.64;18347.0685714286;10;9;18181.7935714286;16753.2221428571;71.4285714285714;1309.90071428571;15311.7857142857;50;49;2;26;15;1
M;25;176;1;0;0;0;0;0;125.5625;0;0;0;0;0;542.937857142857;542.937857142857;4;4;205.714285714286;205.714285714286;17.8571428571429;2.14285714285714;185.714285714286;6;6;1;1;4;0
M;45;42;1;0;3;0;0;0;132.098571428571;0;5560.71428571429;0;0;0;6043.83785714286;6043.83785714286;6;6;2378.60892857143;2378.60892857143;0;0;2366.0375;23;23;0;0;21;1
M;54;18;1;0;0;0;0;0;574.683571428572;0;0;0;0;0;635.215;635.215;2;2;629.107142857143;629.107142857143;0;0;0;2;2;0;0;0;0
M;54;95;1;1;1;0;0;0;417.876428571429;6458.97928571429;9760.00535714286;0;0;0;1830.45464285714;1826.04928571429;7;5;4655.53571428572;4655.53571428572;0;0;1012.67857142857;8;8;0;0;6;0
M;25;151;1;0;0;0;0;0;3970.27178571429;0;0;0;0;0;1023.93428571429;1023.93428571429;3;3;1076.53571428571;1076.53571428571;357.142857142857;157.803571428571;343.321428571429;18;18;2;6;7;0
M;0;152;1;1;0;0;0;0;326.630357142857;16117.8971428571;0;0;0;0;2353.78428571429;2353.45321428571;5;4;1208.42821428571;1208.42821428571;0;1208.42821428571;0;13;13;0;13;0;0
M;33;152;1;0;0;0;0;0;1577.56821428571;0;0;0;0;0;714.304285714286;714.304285714286;3;3;3124.07214285714;3124.07214285714;178.571428571429;65.3785714285714;2329.52571428571;15;15;1;1;10;0
F;41;181;1;0;0;0;0;0;3314.27964285714;0;0;0;0;0;1104.73107142857;1104.73107142857;3;3;708.711071428572;708.711071428572;0;50.1396428571429;657.821428571429;23;23;0;7;15;0
F;51;123;1;0;0;0;0;0;1.96464285714286;0;0;0;0;0;500.037857142857;500.037857142857;2;2;380.785714285714;380.785714285714;178.571428571429;0;202.214285714286;6;6;3;0;3;0
F;60;51;1;1;2;0;0;0;1304.82964285714;3096.08714285714;1687.60035714286;0;0;0;25142.5403571429;10397.0917857143;6;4;15735.7460714286;15735.7460714286;535.714285714286;672.856785714286;205.746428571429;9;9;1;2;4;0
M;73;92;1;0;0;0;0;0;3446.81142857143;0;0;0;0;0;232.863928571429;232.863928571429;3;3;170.625;170.625;42.8571428571429;90.7321428571429;37.0357142857143;15;15;3;8;4;1
F;22;151;1;0;0;0;0;0;4112.73285714286;0;0;0;0;0;854.578571428571;854.578571428571;3;3;967.614642857143;967.614642857143;435.714285714286;347.7575;178.142857142857;59;59;12;27;9;1
F;56;188;1;3;0;0;1;0;0.0414285714285714;4191.27428571429;0;0;28.9714285714286;0;109.973928571429;107.146785714286;6;2;18;16.5714285714286;0;0;15.8571428571429;5;3;0;0;2;0
M;23;150;1;0;0;0;0;0;3913.79821428571;0;0;0;0;0;0.0210714285714286;0.0210714285714286;1;1;1.96428571428571;1.96428571428571;0;0;0;1;1;0;0;0;0
F;22;71;1;0;0;0;0;0;3515.77714285714;0;0;0;0;0;540.587142857143;540.587142857143;2;2;180.964285714286;180.964285714286;0;0;178.571428571429;3;3;0;0;2;0
M;20;46;1;1;0;0;0;0;86.6103571428572;0.110357142857143;0;0;0;0;9.49428571428571;0.0653571428571429;2;1;1414.71428571429;1414.71428571429;0;0;1414.71428571429;4;4;0;0;4;1
F;20;109;1;0;0;0;0;0;11.6846428571429;0;0;0;0;0;1322.14464285714;1322.14464285714;5;5;642.607142857143;642.607142857143;89.2857142857143;10.3214285714286;539.607142857143;9;9;2;2;4;0
M;71;0;1;1;0;0;0;0;549.206428571429;36.6132142857143;0;0;0;0;377.623571428571;377.620357142857;7;6;13.9642857142857;13.9642857142857;0;0;11.7857142857143;2;2;0;0;1;0
M;64;187;1;0;0;0;0;0;443.988571428571;0;0;0;0;0;606.54;606.54;7;7;962.6625;962.6625;225;578.805714285714;158.856785714286;43;43;8;32;3;1
F;30;115;1;0;0;0;0;0;160.903214285714;0;0;0;0;0;0.00964285714285714;0.00964285714285714;1;1;131.874285714286;131.874285714286;0;129.343214285714;0;4;4;0;2;0;0
M;24;95;1;0;0;0;0;0;5733.32821428572;0;0;0;0;0;620.858214285714;620.858214285714;3;3;435.828571428571;435.828571428571;0;73.4714285714286;358.964285714286;9;9;0;3;5;1
M;40;26;1;0;0;1;0;1;981.588214285714;0;0;0;0;8742.69035714286;1918.87392857143;1343.86392857143;23;18;1884.7275;1243.86392857143;332.142857142857;73.2428571428572;239.5;34;18;4;4;4;0
M;55;164;1;1;25;0;0;0;923.9675;456.401071428571;0;0;0;0;1531.13321428571;1518.61607142857;6;4;762.470357142857;762.470357142857;160.714285714286;140.482142857143;302.959642857143;24;24;3;6;10;1
M;16;22;2;0;0;0;0;1;18245.9132142857;0;0;0;0;6001.41678571429;199.843571428571;110.714642857143;3;2;113.285714285714;106.25;0;0;0;4;2;0;0;0;0
M;50;62;1;1;0;1;0;0;3732.89;6177.32964285714;0;157.926785714286;0;0;357.728928571429;357.148214285714;3;2;249.960714285714;249.960714285714;0;48.6035714285714;198.964285714286;5;5;0;2;2;0
M;59;150;1;0;0;0;0;0;1047.58607142857;0;0;0;0;0;998.681071428571;998.681071428571;4;4;995.410357142857;995.410357142857;114.285714285714;83.9467857142857;790.035;19;19;6;5;4;0
F;61;57;1;2;4;0;0;0;5.29535714285714;12783.565;367.857142857143;0;0;0;20.7;0.0239285714285714;3;1;0;0;0;0;0;0;0;0;0;0;0
F;64;181;1;1;0;0;0;0;142.953214285714;106.152857142857;0;0;0;0;902.496428571429;898.580357142857;6;5;1474.71428571429;1474.71428571429;0;0;1472.21428571429;6;6;0;0;5;0
M;27;2;1;0;0;0;0;0;239.063928571429;0;0;0;0;0;58.9307142857143;58.9307142857143;3;3;342.707142857143;342.707142857143;0;0;0;3;3;0;0;0;0
M;65;162;1;0;0;0;0;0;5826.98142857143;0;0;0;0;0;3350.01607142857;3350.01607142857;8;8;4292.57142857143;4292.57142857143;0;53.5;4232.28571428572;18;18;0;1;15;0
F;54;5;1;0;3;0;0;0;3991.99142857143;0;0;0;0;0;377.043214285714;377.043214285714;2;2;393.807142857143;393.807142857143;178.571428571429;29.1285714285714;183.607142857143;11;11;1;3;6;0
F;61;150;1;0;0;1;1;0;42.9514285714286;0;0;0;254.989642857143;0;1190.065;1125.10678571429;9;4;1577.05285714286;1336.65357142857;0;235.899285714286;966.964285714286;18;12;0;2;6;0
F;57;181;1;0;0;0;0;0;10.7728571428571;0;0;0;0;0;503.574642857143;503.574642857143;2;2;556.392857142857;556.392857142857;553.571428571429;0;0;11;11;6;0;0;1
F;41;12;1;0;0;0;0;0;0.682142857142857;0;0;0;0;0;349.271071428571;349.271071428571;2;2;397.25;397.25;357.142857142857;0;38.5714285714286;6;6;2;0;1;0
M;19;9;1;0;0;1;0;0;3234.50321428571;0;0;29.3760714285714;0;0;713.752857142857;713.752857142857;5;5;819.285;819.285;35.7142857142857;86.5;693.820714285714;15;15;1;1;12;0
F;40;183;1;0;0;0;0;0;1.04;0;0;0;0;0;0;0;0;0;0.892857142857143;0.892857142857143;0;0;0;1;1;0;0;0;0
M;70;16;1;0;0;0;0;0;6833.38285714286;0;0;0;0;0;178.5725;178.5725;2;2;175.214285714286;175.214285714286;0;0;172.821428571429;3;3;0;0;2;1
M;55;120;1;1;7;1;1;1;60226.1417857143;2501.69678571429;0;0;494.088571428571;1193.52464285714;8900.30642857143;5592.93535714286;43;29;12011.9946428571;5592.93535714286;678.571428571429;1805.7825;926.981428571429;80;44;2;27;7;0
F;23;68;1;0;0;1;0;0;226.814285714286;0;0;386.650714285714;0;0;370.546785714286;370.546785714286;2;2;260.0125;260.0125;214.285714285714;25.4767857142857;17.8571428571429;8;8;3;2;1;0
F;47;151;1;0;0;0;0;0;2462.12178571429;0;0;0;0;0;403.2525;403.2525;3;3;388.892857142857;388.892857142857;64.2857142857143;0;324.607142857143;2;2;1;0;1;0
M;32;94;1;0;0;0;0;0;12891.6267857143;0;0;0;0;0;601.3675;601.3675;3;3;645.678571428572;645.678571428572;250;14.25;378.821428571429;9;9;1;1;6;0
M;40;26;1;0;0;1;0;1;121.695357142857;0;0;0;0;1280.53142857143;1950.90178571429;1373.15857142857;17;14;2083.9275;1363.69785714286;485.714285714286;39;216.857142857143;27;14;4;2;2;0
M;70;50;1;1;27;0;0;0;1400.16892857143;389883.830714286;15095.6492857143;0;0;0;33213.0075;8192.97107142857;6;3;40102.3092857143;40102.3092857143;0;0;25498.3092857143;17;17;0;0;9;0
F;51;29;1;0;0;1;0;1;252.360357142857;0;0;0;0;293.599642857143;476.472142857143;455.432142857143;4;3;324.25;319.214285714286;0;0;275.678571428571;9;7;0;0;5;0
M;42;186;1;0;0;0;1;0;1442.28464285714;0;0;0;0;0;358.572142857143;357.143214285714;8;5;416.103571428571;414.675;10.7142857142857;0;252.142857142857;12;10;1;0;6;0
F;70;68;1;0;0;0;0;0;0;0;0;0;0;0;879.968928571429;879.968928571429;3;3;815.071428571429;815.071428571429;0;28.3928571428571;757.142857142857;14;14;0;1;10;1
M;14;187;1;0;0;1;0;0;345.686071428571;0;0;618.3975;0;0;0.0075;0.0075;1;1;130.521428571429;130.521428571429;0;111.235714285714;19.2857142857143;5;5;0;4;1;0
M;40;271;1;0;0;1;0;0;74934.9560714286;0;0;0;0;0;5155.04321428572;3491.46142857143;26;22;5331.31571428571;3480.24714285714;0;113.108214285714;1267.07142857143;41;22;0;2;12;0
F;54;150;1;0;0;1;0;0;856.344642857143;0;0;418.7875;0;0;1695.43535714286;1287.68464285714;6;4;1576.86214285714;1170.89357142857;357.142857142857;0;406;9;7;1;0;4;0
F;37;168;1;0;0;0;0;0;561.103214285714;0;0;0;0;0;433.358214285714;433.358214285714;3;3;512.739285714286;512.739285714286;450;35.3464285714286;21.4285714285714;25;25;11;3;1;0
M;24;256;1;0;0;0;0;0;563.407857142857;0;0;0;0;0;412.468571428571;412.468571428571;3;3;491.296428571429;491.296428571429;214.285714285714;26.7107142857143;68.4285714285714;12;12;2;2;5;0
F;30;12;1;0;0;0;0;0;170.856785714286;0;0;0;0;0;285.759285714286;285.759285714286;2;2;0;0;0;0;0;0;0;0;0;0;0
